ensembl_gene_id,gene_symbol,chromosome,start,end,strand,biotype,description
ENSG00000198886,MT-ND4,MT,10760,12137,1,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]
ENSG00000210176,MT-TH,MT,12138,12206,1,Mt_tRNA,mitochondrially encoded tRNA-His (CAU/C) [Source:HGNC Symbol;Acc:HGNC:7487]
ENSG00000210184,MT-TS2,MT,12207,12265,1,Mt_tRNA,mitochondrially encoded tRNA-Ser (AGU/C) 2 [Source:HGNC Symbol;Acc:HGNC:7498]
ENSG00000210191,MT-TL2,MT,12266,12336,1,Mt_tRNA,mitochondrially encoded tRNA-Leu (CUN) 2 [Source:HGNC Symbol;Acc:HGNC:7491]
ENSG00000198786,MT-ND5,MT,12337,14148,1,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]
ENSG00000198695,MT-ND6,MT,14149,14673,-1,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]
ENSG00000210194,MT-TE,MT,14674,14742,-1,Mt_tRNA,mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]
ENSG00000198727,MT-CYB,MT,14747,15887,1,protein_coding,mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]
ENSG00000210195,MT-TT,MT,15888,15953,1,Mt_tRNA,mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499]
ENSG00000210196,MT-TP,MT,15956,16023,-1,Mt_tRNA,mitochondrially encoded tRNA-Pro (CCN) [Source:HGNC Symbol;Acc:HGNC:7494]
ENSG00000292328,RPL14P5,Y,1008503,1010101,-1,processed_pseudogene,ribosomal protein L14 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37720]
ENSG00000292329,,Y,253743,255091,1,unprocessed_pseudogene,regucalcin (RGN) pseudogene
ENSG00000292337,DHRSX-IT1,Y,2334295,2336410,-1,lncRNA,DHRSX intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:38713]
ENSG00000292338,DHRSX,Y,2219506,2502805,-1,protein_coding,dehydrogenase/reductase X-linked [Source:HGNC Symbol;Acc:HGNC:18399]
ENSG00000292342,LINC00685,Y,320990,321851,1,lncRNA,long intergenic non-protein coding RNA 685 [Source:HGNC Symbol;Acc:HGNC:27560]
ENSG00000292346,MIR6089,Y,2609191,2609254,1,miRNA,microRNA 6089 [Source:HGNC Symbol;Acc:HGNC:50179]
ENSG00000292347,LINC00102,Y,2612988,2615347,-1,lncRNA,long intergenic non-protein coding RNA 102 [Source:HGNC Symbol;Acc:HGNC:30470]
ENSG00000292350,Metazoa_SRP,Y,388100,388389,-1,misc_RNA,Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]
ENSG00000292352,FABP5P13,Y,523775,524102,-1,processed_pseudogene,fatty acid binding protein 5 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:38717]
ENSG00000292353,KRT18P53,Y,545236,545352,-1,processed_pseudogene,keratin 18 pseudogene 53 [Source:HGNC Symbol;Acc:HGNC:38714]
ENSG00000292354,SHOX,Y,624344,659411,1,protein_coding,SHOX homeobox [Source:HGNC Symbol;Acc:HGNC:10853]
ENSG00000292355,MIR3690,Y,1293918,1293992,1,miRNA,microRNA 3690 [Source:HGNC Symbol;Acc:HGNC:38967]
ENSG00000292356,RNA5SP498,Y,1300256,1300375,-1,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 498 [Source:HGNC Symbol;Acc:HGNC:43398]"
ENSG00000292361,CD99P1,Y,2609415,2623453,1,transcribed_unprocessed_pseudogene,CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083]
ENSG00000292363,CRLF2,Y,1190490,1212723,-1,protein_coding,cytokine receptor like factor 2 [Source:HGNC Symbol;Acc:HGNC:14281]
ENSG00000292336,ASMT,Y,1615059,1643081,1,protein_coding,acetylserotonin O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:750]
ENSG00000292330,,Y,1767347,1768776,1,lncRNA,novel transcript
ENSG00000310541,,Y,964424,965367,-1,lncRNA,novel transcript
ENSG00000310543,,Y,600187,600999,1,lncRNA,novel transcript
ENSG00000310544,,Y,1248681,1263594,1,lncRNA,novel transcript
ENSG00000310545,,Y,1248659,1249661,-1,lncRNA,novel transcript
ENSG00000310546,,Y,1552740,1565013,-1,lncRNA,novel transcript
ENSG00000292331,ASMTL-AS1,Y,1401430,1414028,1,lncRNA,ASMTL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:25811]
ENSG00000310547,,Y,1883825,1894966,1,lncRNA,novel transcript
ENSG00000310548,,Y,1111322,1112300,1,lncRNA,novel transcript
ENSG00000292349,,Y,386962,511616,1,lncRNA,"novel transcript, antisense to PPP2R3B"
ENSG00000292341,LINC00106,Y,1392679,1400524,1,lncRNA,long intergenic non-protein coding RNA 106 [Source:HGNC Symbol;Acc:HGNC:31843]
ENSG00000310549,,Y,1337165,1341817,-1,lncRNA,"novel transcript, antisense to IL3RA"
ENSG00000310551,,Y,2500245,2503113,1,lncRNA,"novel transcript, antisense to DHRSX and ZBED1"
ENSG00000310552,,Y,2373008,2373119,-1,lncRNA,novel transcript
ENSG00000292335,,Y,990101,994374,1,lncRNA,novel transcript
ENSG00000310553,,Y,267677,276210,-1,lncRNA,novel transcript
ENSG00000310554,,Y,278946,281825,-1,lncRNA,"novel transcript, antisense to PLCXD1"
ENSG00000310556,,Y,1169151,1179160,1,lncRNA,novel transcript
ENSG00000310540,LINC02968,Y,1657735,1763312,1,lncRNA,long intergenic non-protein coding RNA 2968 [Source:HGNC Symbol;Acc:HGNC:56008]
ENSG00000292362,CD99P1,Y,2608406,2666596,1,lncRNA,CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083]
ENSG00000292360,LINC03112,Y,2566022,2609292,-1,lncRNA,long intergenic non-protein coding RNA 3112 [Source:HGNC Symbol;Acc:HGNC:56853]
ENSG00000310557,,Y,2583664,2606031,1,lncRNA,novel transcript
ENSG00000292345,ZBED1,Y,2486414,2502862,-1,protein_coding,zinc finger BED-type containing 1 [Source:HGNC Symbol;Acc:HGNC:447]
ENSG00000292327,PPP2R3B,Y,333933,386955,-1,protein_coding,protein phosphatase 2 regulatory subunit B''beta [Source:HGNC Symbol;Acc:HGNC:13417]
ENSG00000292348,CD99,Y,2690988,2741312,1,protein_coding,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]
ENSG00000292344,PLCXD1,Y,276322,303358,1,protein_coding,phosphatidylinositol specific phospholipase C X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]
ENSG00000292333,P2RY8,Y,1462572,1537187,-1,protein_coding,P2Y receptor family member 8 [Source:HGNC Symbol;Acc:HGNC:15524]
ENSG00000292332,IL3RA,Y,1335025,1382689,1,protein_coding,interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]
ENSG00000292358,GTPBP6,Y,303346,318846,-1,protein_coding,GTP binding protein 6 (putative) [Source:HGNC Symbol;Acc:HGNC:30189]
ENSG00000292334,SLC25A6,Y,1386133,1392929,-1,protein_coding,solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]
ENSG00000292339,ASMTL,Y,1403138,1453786,-1,protein_coding,acetylserotonin O-methyltransferase like [Source:HGNC Symbol;Acc:HGNC:751]
ENSG00000292357,CSF2RA,Y,1268779,1325373,1,protein_coding,colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]
ENSG00000292343,AKAP17A,Y,1591604,1602532,1,protein_coding,A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783]
ENSG00000292364,AMD1P2,Y,57015105,57016096,-1,processed_pseudogene,adenosylmethionine decarboxylase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:460]
ENSG00000292365,DPH3P2,Y,57062156,57062405,1,processed_pseudogene,diphthamide biosynthesis 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38719]
ENSG00000292367,ELOCP24,Y,57165512,57165845,-1,processed_pseudogene,elongin C pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:38160]
ENSG00000292368,TRPC6P1,Y,57171890,57172769,-1,processed_pseudogene,TRPC6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23270]
ENSG00000292369,,Y,57190738,57208756,1,lncRNA,novel transcript
ENSG00000292371,DDX11L16,Y,57212184,57214397,-1,unprocessed_pseudogene,DEAD/H-box helicase 11 like 16 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37115]
ENSG00000292372,WASH6P,Y,57207346,57212230,1,protein_coding,"WASP family homolog 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:31685]"
ENSG00000310550,,Y,56919422,56954169,-1,lncRNA,"novel transcript, antisense to SPRY3"
ENSG00000310555,,Y,57138638,57145842,-1,lncRNA,novel transcript
ENSG00000292370,WASIR1,Y,57201135,57203405,-1,lncRNA,WASH and IL9R antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:38513]
ENSG00000310542,,Y,57208516,57215634,-1,lncRNA,"novel transcript, antisense to AJ271736.6"
ENSG00000292373,IL9R,Y,57184216,57199537,1,protein_coding,interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]
ENSG00000292366,VAMP7,Y,57067747,57130289,1,protein_coding,vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486]
ENSG00000215601,TSPY24P,Y,8280198,8282209,1,unprocessed_pseudogene,"testis specific protein Y-linked 24, pseudogene [Source:HGNC Symbol;Acc:HGNC:38725]"
ENSG00000215603,ZNF92P1Y,Y,7853686,7854876,-1,processed_pseudogene,"zinc finger protein 92 pseudogene 1, Y-linked [Source:HGNC Symbol;Acc:HGNC:39553]"
ENSG00000225878,SERBP1P2,Y,4801685,4802848,-1,processed_pseudogene,SERPINE1 mRNA binding protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23967]
ENSG00000236435,TSPY12P,Y,7687739,7689548,-1,unprocessed_pseudogene,"testis specific protein Y-linked 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:23904]"
ENSG00000258991,DUX4L19,Y,11332329,11333595,1,unprocessed_pseudogene,double homeobox 4 like 19 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37718]
ENSG00000224518,,Y,14941746,14942715,1,processed_pseudogene,"cytochrome c, somatic (CYCS) pseudogene"
ENSG00000231988,OFD1P3Y,Y,9030594,9039988,1,unprocessed_pseudogene,OFD1 pseudogene 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:23875]
ENSG00000238073,RBMY2HP,Y,7671743,7676024,-1,unprocessed_pseudogene,"RNA binding motif protein Y-linked family 2 member H, pseudogene [Source:HGNC Symbol;Acc:HGNC:23893]"
ENSG00000275866,,Y,8517364,8517748,-1,processed_pseudogene,"testis specific protein, Y-linked 1 (TSPY1) pseudogene"
ENSG00000271595,ELOCP35,Y,17464879,17465214,-1,processed_pseudogene,elongin C pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:49176]
ENSG00000183704,SLC9B1P1,Y,11340579,11385687,-1,unprocessed_pseudogene,solute carrier family 9 member B1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37492]
ENSG00000232927,USP12PY,Y,3682805,3683868,1,processed_pseudogene,USP12 pseudogene Y-linked [Source:HGNC Symbol;Acc:HGNC:23195]
ENSG00000277438,KDM5DP1,Y,20570222,20570519,-1,processed_pseudogene,lysine demethylase 5D pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23976]
ENSG00000259154,DUX4L17,Y,11314921,11316187,1,unprocessed_pseudogene,double homeobox 4 like 17 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37717]
ENSG00000273863,,Y,7905536,7907303,-1,processed_pseudogene,tripartite motif containing 60 (TRIM60) pseudogene
ENSG00000271375,,Y,11473727,11474237,-1,processed_pseudogene,immunoglobulin kappa variable 1D-39 (IGKV1D-39) pseudogene
ENSG00000224634,ZNF736P6Y,Y,8350931,8352143,1,processed_pseudogene,"zinc finger protein 736 pseudogene 6, Y-linked [Source:HGNC Symbol;Acc:HGNC:38440]"
ENSG00000285470,TUSC2P1,Y,5887504,5888740,1,processed_pseudogene,TUSC2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23963]
ENSG00000234620,PUDPP1,Y,15348662,15456074,-1,unprocessed_pseudogene,pseudouridine 5'-phosphatase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20200]
ENSG00000236690,,Y,7690511,7692678,1,unprocessed_pseudogene,"testis specific protein, Y-linked 1 (TSPY1) pseudogene"
ENSG00000273693,CDRT15P10,Y,11085476,11086061,-1,processed_pseudogene,CDRT15 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:38413]
ENSG00000223422,,Y,7678899,7681028,1,unprocessed_pseudogene,"testis specific protein, Y-linked 1 (TSPY1) pseudogene"
ENSG00000225653,RNF19BPY,Y,3777997,3779546,-1,processed_pseudogene,ring finger protein 19B pseudogene Y-linked [Source:HGNC Symbol;Acc:HGNC:38398]
ENSG00000228578,TUBB1P2,Y,17516836,17519038,-1,unprocessed_pseudogene,tubulin beta 1 class VI pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23981]
ENSG00000275280,,Y,7656968,7657352,1,processed_pseudogene,"testis specific protein, Y-linked 1 (TSPY1) pseudogene"
ENSG00000270242,ACTR3BP1,Y,11395699,11397076,1,processed_pseudogene,ACTR3B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37724]
ENSG00000236477,RPS24P1,Y,12244752,12245457,1,processed_pseudogene,ribosomal protein S24 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10412]
ENSG00000237997,RCC2P2,Y,19986575,19987852,-1,processed_pseudogene,regulator of chromosome condensation 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38419]
ENSG00000244246,ZNF736P8Y,Y,7913422,7914090,-1,processed_pseudogene,"zinc finger protein 736 pseudogene 8, Y-linked [Source:HGNC Symbol;Acc:HGNC:38406]"
ENSG00000183753,BPY2,Y,22973819,23005465,1,protein_coding,basic charge Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:13508]
ENSG00000225433,MTND1P12,Y,11445418,11445564,-1,unprocessed_pseudogene,MT-ND1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:42061]
ENSG00000235857,CTBP2P1,Y,56855244,56855488,1,processed_pseudogene,CTBP2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23940]
ENSG00000223955,MTND6P1,Y,8363536,8363959,-1,processed_pseudogene,MT-ND6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38730]
ENSG00000270455,PABPC1P5,Y,11335627,11337693,1,processed_pseudogene,poly(A) binding protein cytoplasmic 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37985]
ENSG00000234385,RCC2P1,Y,11781052,11782527,-1,processed_pseudogene,regulator of chromosome condensation 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37710]
ENSG00000226863,SHROOM2P1,Y,12537773,12544883,1,transcribed_unprocessed_pseudogene,shroom family member 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:631]
ENSG00000271365,,Y,11107065,11107263,-1,processed_pseudogene,"family with sequence similarity 201, member A (FAM201A) pseudogene"
ENSG00000259029,DUX4L18,Y,11321557,11322823,1,unprocessed_pseudogene,double homeobox 4 like 18 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37716]
ENSG00000215537,ZNF736P11Y,Y,22866544,22867756,-1,processed_pseudogene,"zinc finger protein 736 pseudogene 11, Y-linked [Source:HGNC Symbol;Acc:HGNC:38426]"
ENSG00000229745,BPY2DP,Y,7932997,7937640,-1,unprocessed_pseudogene,"basic charge Y-linked 2D, pseudogene [Source:HGNC Symbol;Acc:HGNC:38794]"
ENSG00000275828,CHEK2P1,Y,11412548,11418716,1,unprocessed_pseudogene,CHEK2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37999]
ENSG00000232522,ZNF886P,Y,20001185,20012204,-1,unprocessed_pseudogene,"zinc finger protein 886, pseudogene [Source:HGNC Symbol;Acc:HGNC:38420]"
ENSG00000277519,OFD1P16Y,Y,21817579,21818218,-1,unprocessed_pseudogene,OFD1 pseudogene 16 Y-linked [Source:HGNC Symbol;Acc:HGNC:18213]
ENSG00000273731,,Y,8931069,8931454,-1,processed_pseudogene,"testis specific protein, Y-linked 1 (TSPY1) pseudogene"
ENSG00000215583,ASS1P6,Y,11922536,11923769,-1,processed_pseudogene,argininosuccinate synthetase 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:769]
ENSG00000274162,SNX18P1Y,Y,11178306,11178816,1,processed_pseudogene,"sorting nexin 18 pseudogene 1, Y-linked [Source:HGNC Symbol;Acc:HGNC:38442]"
ENSG00000233774,MED14P1,Y,12618983,12634402,-1,unprocessed_pseudogene,mediator complex subunit 14 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:2371]
ENSG00000228764,ZNF885P,Y,20390051,20396796,1,processed_pseudogene,"zinc finger protein 885, pseudogene [Source:HGNC Symbol;Acc:HGNC:38456]"
ENSG00000232226,ARSFP1,Y,12252321,12258033,-1,transcribed_unprocessed_pseudogene,arylsulfatase F pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:722]
ENSG00000224567,,Y,11445708,11446101,-1,processed_pseudogene,tripartite motif containing 43 (TRIM43) pseudogene
ENSG00000241200,ZNF736P7Y,Y,7990987,7991806,-1,processed_pseudogene,"zinc finger protein 736 pseudogene 7, Y-linked [Source:HGNC Symbol;Acc:HGNC:38404]"
ENSG00000228518,SURF6P1,Y,17192826,17193652,1,processed_pseudogene,surfeit 6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37722]
ENSG00000274231,,Y,11144250,11144492,1,processed_pseudogene,asparagine synthetase (glutamine-hydrolyzing) (ASNS) pseudogene
ENSG00000274502,ANKRD20A6P,Y,11173618,11173821,1,processed_pseudogene,"ankyrin repeat domain 20 family member A6, pseudogene [Source:HGNC Symbol;Acc:HGNC:37714]"
ENSG00000278854,,Y,7845485,7846454,-1,processed_pseudogene,tripartite motif containing 60 (TRIM60) pseudogene
ENSG00000225809,RBMY2KP,Y,8264449,8277188,-1,unprocessed_pseudogene,"RNA binding motif protein Y-linked family 2 member K, pseudogene [Source:HGNC Symbol;Acc:HGNC:23888]"
ENSG00000232419,TTTY19,Y,8704472,8705283,1,lncRNA,"testis expressed transcript, Y-linked 19 [Source:HGNC Symbol;Acc:HGNC:18843]"
ENSG00000226906,TTTY4,Y,22936455,22973284,1,lncRNA,"testis expressed transcript, Y-linked 4 [Source:HGNC Symbol;Acc:HGNC:16481]"
ENSG00000230025,,Y,8971751,8974095,-1,unprocessed_pseudogene,"testis specific protein, Y-linked 1 (TSPY1) pseudogene"
ENSG00000235649,MXRA5Y,Y,11957208,11987386,1,unprocessed_pseudogene,matrix remodeling associated 5 Y-linked (pseudogene) [Source:HGNC Symbol;Acc:HGNC:23932]
ENSG00000258567,DUX4L16,Y,11306918,11308181,1,unprocessed_pseudogene,double homeobox 4 like 16 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37719]
ENSG00000234179,MTCYBP1,Y,8364032,8365150,1,processed_pseudogene,MT-CYB pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38729]
ENSG00000271309,,Y,11107389,11107596,-1,processed_pseudogene,"family with sequence similarity 201, member A (FAM201A) pseudogene"
ENSG00000228240,TTTY17A,Y,22851584,22852715,1,lncRNA,"testis expressed transcript, Y-linked 17A [Source:HGNC Symbol;Acc:HGNC:18841]"
ENSG00000234652,AGPAT5P1,Y,3293808,3294826,1,processed_pseudogene,1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37709]
ENSG00000218410,,Y,3851224,3852869,-1,processed_pseudogene,pseudogene similar to primate FRD envelope proteins (ENVFRD)
ENSG00000224989,FAM41AY1,Y,17500958,17515018,1,lncRNA,"family with sequence similarity 41 member A, Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:23955]"
ENSG00000273858,,Y,11042722,11042943,-1,processed_pseudogene,SH3 and multiple ankyrin repeat domains 2 (SHANK2) pseudogene
ENSG00000227830,TRIM60P3Y,Y,8413037,8414054,-1,processed_pseudogene,"tripartite motif containing 60 pseudogene 3, Y-linked [Source:HGNC Symbol;Acc:HGNC:38409]"
ENSG00000226529,MTND1P1,Y,8371663,8372030,1,processed_pseudogene,MT-ND1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38728]
ENSG00000274837,,Y,19932130,19932500,-1,processed_pseudogene,"heat shock transcription factor, Y-linked 1 (HSFY1) pseudogene"
ENSG00000216777,PRRC2CP1,Y,3549652,3549810,-1,processed_pseudogene,proline rich coiled-coil 2C pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23949]
ENSG00000216824,ZNF736P10Y,Y,8418791,8419900,-1,processed_pseudogene,"zinc finger protein 736 pseudogene 10, Y-linked [Source:HGNC Symbol;Acc:HGNC:38410]"
ENSG00000276829,,Y,22861112,22861834,-1,unprocessed_pseudogene,tripartite motif containing 60 (TRIM60) pseudogene
ENSG00000283076,,Y,17514502,17516715,1,transcribed_unprocessed_pseudogene,"family with sequence similarity 166, member A (FAM166A) pseudogene"
ENSG00000234850,MTND2P3,Y,8372241,8372710,1,processed_pseudogene,MT-ND2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:38727]
ENSG00000270570,,Y,11107719,11107887,-1,processed_pseudogene,"family with sequence similarity 201, member A (FAM201A) pseudogene"
ENSG00000223517,,Y,14276212,14277489,-1,lncRNA,novel transcript
ENSG00000228207,,Y,8901203,8903276,-1,unprocessed_pseudogene,"testis specific protein, Y-linked 1 (TSPY1) pseudogene"
ENSG00000225117,ARSDP1,Y,12354096,12387328,1,unprocessed_pseudogene,arylsulfatase D pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:718]
ENSG00000228411,CDY4P,Y,12801973,12803830,-1,processed_pseudogene,chromodomain Y-linked 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:23872]
ENSG00000229518,UBE2V1P3,Y,3866306,3866722,-1,processed_pseudogene,UBE2V1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:23983]
ENSG00000232730,FAM8A4P,Y,12321623,12322835,1,processed_pseudogene,"family with sequence similarity 8 member A4, pseudogene [Source:HGNC Symbol;Acc:HGNC:16375]"
ENSG00000244000,,Y,23017063,23017821,1,processed_pseudogene,zinc finger protein pseudogene
ENSG00000232764,TRIM60P8Y,Y,23025594,23026663,1,processed_pseudogene,"tripartite motif containing 60 pseudogene 8, Y-linked [Source:HGNC Symbol;Acc:HGNC:38458]"
